"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Games"
"1","Wednesday 25th December 2024 01:52","https://sullygnome.com/channel/meowbuffy/stream/45227691243","248","156240","630","863","90","20","Just Chatting"
"2","Monday 23rd December 2024 03:07","https://sullygnome.com/channel/meowbuffy/stream/45218794123","188","101896","542","745","60","17","Just Chatting"
"3","Saturday 21st December 2024 03:19","https://sullygnome.com/channel/meowbuffy/stream/45208087963","146","83220","570","869","38","13","Just Chatting"
"4","Friday 20th December 2024 03:10","https://sullygnome.com/channel/meowbuffy/stream/45202008699","230","129490","563","708","51","12","Just Chatting"
"5","Monday 16th December 2024 10:16","https://sullygnome.com/channel/meowbuffy/stream/45181504235","194","97582","503","736","-9","-2","Just Chatting"
"6","Monday 18th November 2024 07:38","https://sullygnome.com/channel/meowbuffy/stream/45037795627","142","69864","492","652","24","8","Just Chatting"
"7","Tuesday 12th November 2024 06:30","https://sullygnome.com/channel/meowbuffy/stream/45018756555","210","123900","590","800","53","14","Just Chatting"
"8","Friday 8th November 2024 06:27","https://sullygnome.com/channel/meowbuffy/stream/45004791019","243","162324","668","1011","52","12","Just Chatting"
"9","Tuesday 5th November 2024 04:45","https://sullygnome.com/channel/meowbuffy/stream/44995364203","195","103350","530","754","5","1","Just Chatting"
"10","Monday 4th November 2024 04:27","https://sullygnome.com/channel/meowbuffy/stream/44992212635","213","95850","450","605","5","1","Just Chatting"
"11","Saturday 5th October 2024 00:34","https://sullygnome.com/channel/meowbuffy/stream/44882303531","716","467548","653","1079","154","12","Just Chatting"
"12","Tuesday 1st October 2024 02:08","https://sullygnome.com/channel/meowbuffy/stream/44869260363","322","179354","557","701","89","15","Just Chatting"
"13","Friday 27th September 2024 03:11","https://sullygnome.com/channel/meowbuffy/stream/44857381835","229","127782","558","816","47","11","Just Chatting"
"14","Thursday 26th September 2024 03:11","https://sullygnome.com/channel/meowbuffy/stream/44854574651","214","106358","497","657","18","4","Just Chatting"
"15","Tuesday 24th September 2024 04:03","https://sullygnome.com/channel/meowbuffy/stream/44848962427","192","87936","458","588","-5","-1","Just Chatting"
"16","Sunday 15th September 2024 03:19","https://sullygnome.com/channel/meowbuffy/stream/44817314475","236","161188","683","1010","84","19","Just Chatting"
"17","Thursday 12th September 2024 08:03","https://sullygnome.com/channel/meowbuffy/stream/44802921099","192","115776","603","769","58","16","Just Chatting"
"18","Tuesday 10th September 2024 05:09","https://sullygnome.com/channel/meowbuffy/stream/44789140923","201","125424","624","940","94","25","Just Chatting,ROBLOX"
"19","Saturday 7th September 2024 04:41","https://sullygnome.com/channel/meowbuffy/stream/51955941549","199","118604","596","746","60","17","Just Chatting"
"20","Wednesday 4th September 2024 10:15","https://sullygnome.com/channel/meowbuffy/stream/44777107339","150","54000","360","482","11","4","Just Chatting"
"21","Wednesday 21st August 2024 04:45","https://sullygnome.com/channel/meowbuffy/stream/44707118171","315","201600","640","986","198","36","Just Chatting,Call of Duty: Black Ops III"
"22","Thursday 15th August 2024 10:22","https://sullygnome.com/channel/meowbuffy/stream/44677858715","188","119568","636","850","73","20","Just Chatting"
"23","Thursday 8th August 2024 10:11","https://sullygnome.com/channel/meowbuffy/stream/44643407499","184","92736","504","767","65","18","Just Chatting"
"24","Tuesday 6th August 2024 10:19","https://sullygnome.com/channel/meowbuffy/stream/44634797099","191","84422","442","526","-3","0","Just Chatting"
"25","Tuesday 23rd July 2024 10:29","https://sullygnome.com/channel/meowbuffy/stream/44574961243","31","9083","293","481","5","6","Just Chatting"
"26","Saturday 20th July 2024 10:32","https://sullygnome.com/channel/meowbuffy/stream/44558937771","208","132288","636","932","6","1","Just Chatting"
"27","Thursday 11th July 2024 10:41","https://sullygnome.com/channel/meowbuffy/stream/44510385979","199","125967","633","845","11","2","Just Chatting"
"28","Tuesday 2nd July 2024 10:45","https://sullygnome.com/channel/meowbuffy/stream/44464620315","180","133200","740","1066","80","24","Just Chatting"
"29","Thursday 27th June 2024 09:20","https://sullygnome.com/channel/meowbuffy/stream/44438309003","100","65300","653","957","16","8","Just Chatting"
"30","Wednesday 26th June 2024 10:31","https://sullygnome.com/channel/meowbuffy/stream/44432990907","209","124355","595","824","60","16","Just Chatting"
"31","Monday 24th June 2024 10:24","https://sullygnome.com/channel/meowbuffy/stream/44422193531","186","99696","536","685","1043","298","Just Chatting"
"32","Saturday 22nd June 2024 10:08","https://sullygnome.com/channel/meowbuffy/stream/44411035515","202","105848","524","689","-23","-6","Just Chatting"
"33","Friday 21st June 2024 05:19","https://sullygnome.com/channel/meowbuffy/stream/44404543099","71","25489","359","491","-4","-2","Just Chatting"
"34","Monday 3rd June 2024 05:28","https://sullygnome.com/channel/meowbuffy/stream/44292791611","137","81378","594","822","34","13","Just Chatting"
"35","Thursday 30th May 2024 05:05","https://sullygnome.com/channel/meowbuffy/stream/44272903547","205","112340","548","770","10","2","Raid: Shadow Legends,Just Chatting"
"36","Wednesday 29th May 2024 04:59","https://sullygnome.com/channel/meowbuffy/stream/44267832219","196","141512","722","926","33","9","Just Chatting"
"37","Tuesday 28th May 2024 10:26","https://sullygnome.com/channel/meowbuffy/stream/44263564603","139","71585","515","697","34","12","Just Chatting"
"38","Tuesday 21st May 2024 11:08","https://sullygnome.com/channel/meowbuffy/stream/44227616427","202","83830","415","536","-15","-4","Just Chatting"
"39","Sunday 12th May 2024 09:55","https://sullygnome.com/channel/meowbuffy/stream/44183204459","230","150420","654","770","96","24","Just Chatting"
"40","Wednesday 8th May 2024 09:13","https://sullygnome.com/channel/meowbuffy/stream/44161750427","167","77655","465","550","42","14","Just Chatting"
"41","Monday 6th May 2024 07:21","https://sullygnome.com/channel/meowbuffy/stream/44151653323","204","133824","656","1013","46","12","Just Chatting"
"42","Thursday 2nd May 2024 07:12","https://sullygnome.com/channel/meowbuffy/stream/44127004491","153","97920","640","753","32","11","Just Chatting"
"43","Wednesday 1st May 2024 07:05","https://sullygnome.com/channel/meowbuffy/stream/44121657291","250","138000","552","861","34","7","Just Chatting"
"44","Monday 29th April 2024 09:38","https://sullygnome.com/channel/meowbuffy/stream/44112026539","187","89012","476","554","2","0","Just Chatting,Call of Dragons"
"45","Tuesday 23rd April 2024 09:46","https://sullygnome.com/channel/meowbuffy/stream/44079847627","119","81396","684","1049","-9","-4","Just Chatting"
"46","Tuesday 26th March 2024 11:05","https://sullygnome.com/channel/meowbuffy/stream/43900430523","100","66900","669","1005","21","10","Just Chatting"
"47","Monday 25th March 2024 11:26","https://sullygnome.com/channel/meowbuffy/stream/43893640475","184","132664","721","1144","34","9","Just Chatting"
"48","Wednesday 20th March 2024 10:17","https://sullygnome.com/channel/meowbuffy/stream/43857845483","103","64581","627","942","3","1","Just Chatting"
"49","Friday 15th March 2024 09:24","https://sullygnome.com/channel/meowbuffy/stream/43822151643","141","97995","695","1023","2959","1183","Just Chatting"
"50","Saturday 2nd March 2024 03:10","https://sullygnome.com/channel/meowbuffy/stream/42365650505","110","68970","627","1097","30","15","Just Chatting"
"51","Friday 1st March 2024 10:43","https://sullygnome.com/channel/meowbuffy/stream/43722881035","92","54924","597","786","24","13","Just Chatting"
"52","Wednesday 28th February 2024 10:38","https://sullygnome.com/channel/meowbuffy/stream/43709786667","172","133988","779","1117","38","11","Fall Guys,Just Chatting"
"53","Saturday 24th February 2024 10:43","https://sullygnome.com/channel/meowbuffy/stream/43682914779","122","81496","668","913","6","2","Just Chatting,Fall Guys"
"54","Thursday 22nd February 2024 07:53","https://sullygnome.com/channel/meowbuffy/stream/43670385595","172","107156","623","1055","30","9","Just Chatting"
"55","Wednesday 14th February 2024 13:36","https://sullygnome.com/channel/meowbuffy/stream/43621387115","84","71148","847","1129","35","20","Just Chatting"
"56","Wednesday 14th February 2024 11:57","https://sullygnome.com/channel/meowbuffy/stream/43621227403","63","27972","444","858","-9","-7","Just Chatting"
"57","Friday 2nd February 2024 08:03","https://sullygnome.com/channel/meowbuffy/stream/43545653963","192","85056","443","511","1","0","Just Chatting"
"58","Thursday 25th January 2024 08:22","https://sullygnome.com/channel/meowbuffy/stream/43493568523","98","45766","467","713","8","4","Just Chatting"
"59","Sunday 21st January 2024 07:08","https://sullygnome.com/channel/meowbuffy/stream/43466447851","172","104748","609","913","14","4","Just Chatting"
"60","Wednesday 17th January 2024 11:27","https://sullygnome.com/channel/meowbuffy/stream/43438332155","198","115434","583","745","600","171","Just Chatting"
"61","Monday 15th January 2024 09:46","https://sullygnome.com/channel/meowbuffy/stream/43421816299","134","67268","502","795","0","0","Just Chatting"
"62","Friday 12th January 2024 10:45","https://sullygnome.com/channel/meowbuffy/stream/43396129867","135","70470","522","878","-14","-5","Just Chatting"